Label,AreaClass,Slope,VegType,Shrubs.2008,Shrubs.1989,"Elements1989(e,g,h,I,k)",Elements2008,Elements1989.4,Elements2008.4,Saturation,Type,System,Grazing,Grazing4,Grazing2,Clearing,Richness2008,Richness1989,Pulsatilla2008,Pulsatilla1989,Area.ha,S.euclidean,S.sheep.continuous,S.sheep.intermittent,S.sheep.yes.no,Richness1989.without4,Richness1989.without5,Richness1989.without8,Richness2008.without4,Richness2008.without5,Richness2008.without8,,x,y,Change,Rel.Change,Colonizations,Extinctions,Col.Rate,Ext.Rate
A13,5,3,F,0,0,0,3,0,3,27,Patch,Grimm,Consistently,Consistently,YES,NO,35,13,2,0,0.380203,8.640543475,0.838786611,1.149021279,27.95821986,13,13,12,31,31,28,,4428870.355,5425784.033,22,0.629,25,3,0.714285714,0.230769231
A14,4,2,A,3,1,2,3,1,2,44,Patch,Grimm,Consistently,Consistently,YES,NO,32,22,0,0,0.465878,5.757895991,0.503894891,0.599098576,27.92670179,21,21,18,28,28,25,,4428438.608,5425107.992,10,0.385,13,3,0.5,0.136363636
A15,4,3,A,3,1,1,4,1,3,25,Patch,Grimm,Consistently,Consistently,YES,NO,23,13,0,0,0.372544,5.55255666,0.318535095,0.348326858,27.96103745,12,12,9,22,22,19,,4428373.552,5425020.603,10,0.286,11,1,0.314285714,0.076923077
A16,5,1,A,3,1,2,3,1,2,27,Patch,none,Ungrazed,Ungrazed,Ungrazed,clearing,16,13,0,0,1.06826,5.450462739,4.61696E-42,4.61696E-42,4.61696E-42,13,13,11,16,16,13,,4428033.769,5425181.76,3,0.086,8,5,0.228571429,0.384615385
A17,3,3,F,1,1,1,2,0,2,21,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,14,11,0,0,0.143732,6.887101668,4.65135E-42,4.65135E-42,4.65135E-42,11,11,7,13,13,9,,4427985.771,5425396.647,3,0.081,5,2,0.135135135,0.181818182
A18,4,6,A,2,0,4,3,3,2,23,Patch,Grimm,Consistently,Consistently,YES,NO,20,13,0,0,0.307296,9.706629979,5.267353363,5.183154874,27.98504085,13,13,9,18,18,14,,4427030.229,5426590.403,7,0.200,7,0,0.2,0
A19,2,2,B,3,1,1,0,1,0,21,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,6,10,0,0,0.027784,14.79510833,4.65566E-42,4.65566E-42,4.65566E-42,10,10,8,6,6,5,,4427051.645,5428172.848,-4,-0.105,0,4,0,0.4
A20,3,5,B,3,1,2,1,2,1,42,Patch,Neulinger,Intermittently,Initially,YES,clearing,29,23,0,0,0.206933,13.99318403,4.649E-42,0.103025628,10.96143957,22,22,18,27,27,23,,4427195.757,5427309.582,6,0.240,6,0,0.24,0
A21,4,4,A,2,1,2,5,2,4,75,Patch,Neulinger,Intermittently,Initially,YES,clearing,38,37,2,2,0.174179,11.73059768,4.65022E-42,0.18200009,10.97348909,33,33,30,34,34,31,,4426924.407,5427173.079,1,0.091,3,2,0.272727273,0.054054054
A22,2,5,B,2,1,1,3,1,3,31,Patch,Neulinger,Intermittently,Initially,YES,clearing,31,16,2,0,0.060451,11.46077167,4.65445E-42,0.319425747,11.01532729,16,16,13,29,29,26,,4426886.727,5427122.108,15,0.469,18,3,0.5625,0.1875
A23,3,2,A,0,1,1,3,1,3,42,Patch,Neulinger,Intermittently,Initially,YES,clearing,29,21,2,0,0.163963,9.271118533,4.6506E-42,0.510134639,10.97724735,21,21,18,29,29,25,,4426488.856,5426931.709,8,0.296,9,1,0.333333333,0.047619048
A24,5,3,A/C,3,2,1,3,1,3,52,Patch,Neulinger,Intermittently,Initially,YES,clearing,37,26,2,3,0.532038,8.202998803,4.63691E-42,0.783080252,10.84184013,24,24,21,33,33,30,,4426098.929,5427000.869,11,0.500,11,0,0.5,0
A25,3,3,A,2,2,0,2,0,2,40,Patch,Neulinger,Consistently,Consistently,YES,NO,32,21,3,4,0.062708,4.95291563,0.754108954,0.835001134,11.01449698,21,21,18,29,29,26,,4422651.199,5425339.23,11,0.407,11,0,0.407407407,0
A26,4,2,D,2,2,1,3,1,3,40,Patch,Neulinger,Consistently,Consistently,YES,NO,33,19,2,2,0.09321,5.448186168,0.444010637,0.400741774,11.00327592,18,18,15,30,30,26,,4422713.323,5425141.846,14,0.483,15,1,0.517241379,0.052631579
A27,3,3,A/C,2,2,2,1,2,1,36,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,20,16,0,1,0.117223,5.703086107,4.65234E-42,4.65234E-42,4.65234E-42,16,16,14,18,18,15,,4422675.906,5424899.721,4,0.125,9,5,0.28125,0.3125
A28,4,5,A,2,2,1,2,1,2,54,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,30,25,0,0,0.129149,5.503794112,4.65189E-42,4.65189E-42,4.65189E-42,24,24,22,26,26,23,,4422592.878,5424800.336,5,0.217,9,4,0.391304348,0.16
A28a,4,6,A,3,1,2,2,2,2,29,Patch,Neulinger,Consistently,Consistently,YES,NO,24,14,0,0,0.175787,5.693635527,0.453497047,0.513395415,10.97289754,14,14,10,22,22,18,,4422664.286,5424832.714,10,0.294,10,0,0.294117647,0
A29,3,3,D,2,1,1,3,1,3,58,Patch,Neulinger,Consistently,Consistently,YES,NO,35,28,2,2,0.120258,5.791871551,1.033441717,1.045546026,10.99332552,27,27,23,31,31,28,,4422650.581,5424711.575,7,0.350,8,1,0.4,0.035714286
A30,1,6,A,2,1,1,0,1,0,19,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,6,9,0,0,0.024137,6.47207783,4.6558E-42,4.6558E-42,4.6558E-42,9,9,6,6,6,5,,4422796.741,5424570.153,-3,-0.077,3,6,0.076923077,0.666666667
A31,5,6,C,2,1,1,3,1,3,40,Patch,Neulinger,Consistently,Consistently,YES,NO,33,20,4,2,0.125042,5.30340904,0.463819765,0.466355345,10.99156559,19,19,15,30,30,26,,4422515.522,5424579.567,13,0.464,14,1,0.5,0.05
A32,1,2,D,2,2,0,1,0,1,31,Patch,Neulinger,Consistently,Consistently,YES,NO,22,15,0,2,0.017503,5.148610916,0.352220639,0.353153427,11.03112697,15,15,10,21,21,16,,4422453.228,5424431.123,7,0.212,10,3,0.303030303,0.2
A33,5,4,C,3,2,0,4,0,3,38,Patch,Neulinger,Consistently,Consistently,YES,NO,26,19,3,2,0.330791,4.237103356,0.180234918,0.180578072,10.91587476,19,19,15,23,23,20,,4422315.353,5424161.6,7,0.241,10,3,0.344827586,0.157894737
A34,5,4,C,2,1,0,4,0,3,19,Patch,Neulinger,Consistently,Consistently,YES,NO,31,9,2,2,0.279758,3.774907471,0.150134801,0.15026104,10.93464875,9,9,7,27,27,24,,4422229.67,5423956.323,22,0.564,22,0,0.564102564,0
A35,3,1,A,2,2,1,2,1,2,27,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,11,14,0,0,0.067794,6.555050859,4.65418E-42,4.65418E-42,4.65418E-42,14,14,11,10,10,7,,4423010.027,5423961.957,-3,-0.088,4,7,0.117647059,0.5
A36,3,5,D,2,2,2,4,2,3,56,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,26,27,2,2,0.121521,4.247040668,4.65218E-42,4.65218E-42,4.65218E-42,27,27,23,25,25,22,,4426193.443,5423772.631,-1,-0.048,6,7,0.285714286,0.259259259
A37,3,6,A,2,0,2,5,2,4,42,Patch,none,Ungrazed,Ungrazed,Ungrazed,clearing,25,20,3,0,0.07778,4.802081418,4.6538E-42,4.6538E-42,4.6538E-42,19,18,16,24,24,21,,4425788.937,5423852.834,5,0.179,9,4,0.321428571,0.2
A38,5,6,A,3,2,3,3,2,2,50,Patch,Neulinger,Consistently,Consistently,YES,clearing,37,27,3,2,1.403223,5.810313488,4.761213148,4.759954904,10.52134907,25,25,21,33,32,31,,4425422.904,5422707.752,10,0.476,11,1,0.523809524,0.037037037
A39,2,2,A,2,1,1,1,1,1,46,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,22,22,0,0,0.045214,7.066313409,4.65502E-42,4.65502E-42,4.65502E-42,20,20,17,20,20,17,,4425771.527,5422488.257,0,0.000,4,4,0.153846154,0.181818182
A40,1,3,A,2,0,0,2,0,1,40,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,21,11,0,0,0.0044,5.277467685,4.65653E-42,4.65653E-42,4.65653E-42,11,11,9,21,21,17,,4426025.864,5423333.213,10,0.270,11,1,0.297297297,0.090909091
A41,3,3,A,2,1,1,2,1,2,21,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,33,21,2,2,0.051242,4.921632777,4.65479E-42,4.65479E-42,4.65479E-42,20,19,16,30,30,27,,4425938.238,5423221.371,12,0.444,15,3,0.555555556,0.142857143
A42,3,6,B,2,1,1,1,1,1,33,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,12,16,0,0,0.038611,3.877366206,4.65526E-42,4.65526E-42,4.65526E-42,15,15,11,11,11,11,,4426570.778,5423369.979,-4,-0.125,2,6,0.0625,0.375
A43,4,2,A,3,1,2,3,1,2,63,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,31,32,1,0,0.477784,0.634950276,4.63892E-42,4.63892E-42,4.63892E-42,29,29,27,29,29,25,,4428956.874,5421204.214,-1,-0.063,5,6,0.3125,0.1875
A44,5,6,A/C,3,3,2,1,2,1,40,Patch,Beil,Intermittently,Intermittently,YES,NO,29,20,1,2,0.096296,4.818069164,4.65312E-42,3.722143912,5.430784934,20,20,16,26,26,23,,4423025.79,5426587.944,9,0.321,11,2,0.392857143,0.1
A45,4,3,A,2,1,3,2,3,2,48,Patch,Beil,Consistently,Consistently,YES,NO,32,24,2,2,0.132336,4.639547806,4.357995186,1.687325846,5.417526559,24,24,20,29,29,25,,4423096.681,5426959.184,8,0.333,9,1,0.375,0.041666667
A46,3,3,A,3,1,1,1,1,1,40,Patch,Beil,Intermittently,Intermittently,YES,NO,25,20,0,1,0.01438,4.219951412,4.65177E-42,1.353951152,5.417526559,20,20,16,24,24,20,,4423144.436,5427368.64,5,0.179,6,1,0.214285714,0.05
A47,5,5,C,0,1,2,2,2,2,21,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,17,11,0,0,0.376524,4.40470894,4.64269E-42,4.64269E-42,4.64269E-42,11,11,10,16,16,14,,4427937.304,5434444.492,6,0.162,6,0,0.162162162,0
A48,3,6,B,3,2,1,2,1,2,35,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,25,18,0,0,0.215021,6.193749753,4.6487E-42,4.6487E-42,4.6487E-42,18,18,15,22,22,19,,4428320.843,5434711.608,7,0.233,12,5,0.4,0.277777778
A49,4,5,B,3,1,2,2,2,2,44,Patch,Grimm,Consistently,Consistently,YES,NO,35,21,1,0,0.326564,4.750077369,0.235189148,0.235066307,27.97795254,21,21,16,31,31,28,,4428060.832,5434343.32,14,0.519,14,0,0.518518519,0
A50,3,4,A,0,0,1,4,1,3,62,Patch,Grimm,Consistently,Consistently,YES,NO,30,30,0,0,0.113352,4.8825589,0.191316909,0.226365887,28.05638886,27,27,23,27,26,23,,4428114.42,5434243.038,0,0.000,0,1,0,0.033333333
A51,3,6,A,1,2,2,0,2,0,40,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,21,21,0,0,0.011038,5.732045936,4.65629E-42,4.65629E-42,4.65629E-42,21,21,16,20,19,15,,NA,NA,0,0.000,NA,NA,NA,NA
A51a,4,6,A,0,1,3,4,3,3,56,Patch,Grimm,Consistently,Consistently,YES,NO,31,26,0,0,0.150914,5.263557188,0.510521097,0.536547265,28.04257057,26,26,21,27,26,25,,4428138.643,5434401.555,5,0.227,6,2,0.272727273,0.076923077
A52,4,6,A,2,2,1,4,1,3,42,Patch,Grimm,Consistently,Consistently,YES,NO,32,21,0,0,0.138449,5.813508388,0.986384603,0.985478935,28.04715619,21,21,16,29,29,25,,4428252.01,5434517.004,11,0.407,11,0,0.407407407,0
A53,3,6,D,0,1,1,3,1,3,44,Patch,Grimm,Consistently,Consistently,YES,NO,24,20,0,0,0.220854,6.222437728,2.263717944,2.261256081,28.01684108,19,19,17,22,22,19,,4428437.533,5434485.752,4,0.143,8,4,0.285714286,0.2
A54,2,4,A,2,3,0,1,0,1,38,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,8,18,0,2,0.067738,7.771170888,4.65418E-42,4.65418E-42,4.65418E-42,18,18,13,8,8,6,,4428722.872,5434873.646,-10,-0.333,0,10,0,0.555555556
A55,5,5,E,0,1,0,2,0,2,46,Patch,Grimm,Consistently,Consistently,YES,NO,26,25,0,0,0.241902,5.867970245,0.881285063,0.880379394,28.00909795,24,24,21,24,24,22,,4428405.537,5434383.738,1,0.043,3,2,0.130434783,0.08
A56,4,6,A,2,2,2,1,2,1,46,Patch,Grimm,Consistently,Consistently,YES,NO,29,24,0,0,0.090033,7.539983323,4.967220205,4.91775856,28.06496744,23,23,20,26,26,22,,4429522.383,5434740.586,5,0.208,7,2,0.291666667,0.083333333
A57,5,4,A,2,1,0,0,0,0,31,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,8,15,0,2,0.129235,7.753808264,4.65189E-42,4.65189E-42,4.65189E-42,15,15,12,8,8,6,,4429772.917,5434577.91,-7,-0.212,3,10,0.090909091,0.666666667
A58,5,5,F,3,1,1,0,1,0,38,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,12,18,0,0,0.075736,8.232190783,4.65388E-42,4.65388E-42,4.65388E-42,17,16,14,12,12,9,,4429824.162,5434387.079,-6,-0.200,3,9,0.1,0.5
G1,NA,NA,NA,0,NA,NA,2,NA,2,NA,Core,Beil,Consistently,Consistently,YES,NA,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,23,,4424758.63,5431258.5,NA,NA,NA,NA,NA,NA
G2_4,NA,NA,NA,3,NA,NA,2,NA,2,NA,Core,Beil,Consistently,Consistently,YES,NA,35,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,28,,4424216.79,5430843.09,NA,NA,NA,NA,NA,NA
G5_6,NA,NA,NA,2,NA,NA,5,NA,4,NA,Core,Grimm,Consistently,Consistently,YES,NA,37,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,30,,4430080.38,5434270.16,NA,NA,NA,NA,NA,NA
G5a,NA,NA,NA,0,NA,NA,4,NA,3,NA,Core,Grimm,Consistently,Consistently,YES,NA,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,31,,4429329.65,5434835.31,NA,NA,NA,NA,NA,NA
G7_8,NA,NA,NA,2,NA,NA,4,NA,4,NA,Core,Grimm,Consistently,Consistently,YES,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,27,,4430080.38,5434270.16,NA,NA,NA,NA,NA,NA
G9,NA,NA,NA,3,NA,NA,4,NA,3,NA,Core,Grimm,Consistently,Consistently,YES,NA,35,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,28,,4428634.55,5434932.52,NA,NA,NA,NA,NA,NA
G10,NA,NA,NA,3,NA,NA,3,NA,3,NA,Core,Grimm,Consistently,Consistently,YES,NA,18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,15,,NA,NA,NA,NA,NA,NA,NA,NA
G11,NA,NA,NA,3,NA,NA,1,NA,1,NA,Core,Grimm,Consistently,Consistently,YES,NA,23,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,19,,NA,NA,NA,NA,NA,NA,NA,NA
G13,NA,NA,NA,2,NA,NA,2,NA,2,NA,Core,Grimm,Consistently,Consistently,YES,NA,26,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,23,,NA,NA,NA,NA,NA,NA,NA,NA
G14_12,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Core,Grimm,Consistently,Consistently,YES,NA,30,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,23,,4431420.88,5430776.03,NA,NA,NA,NA,NA,NA
G15,NA,NA,NA,3,NA,NA,2,NA,1,NA,Core,Grimm,Consistently,Consistently,YES,NA,17,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,14,,4431420.88,5430776.03,NA,NA,NA,NA,NA,NA
G20_19_18_17_16,NA,NA,NA,3,NA,NA,3,NA,3,NA,Core,Beil,Consistently,Consistently,YES,NA,39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,32,,4424352.71,5426731.25,NA,NA,NA,NA,NA,NA
G21_22,NA,NA,NA,2,NA,NA,4,NA,3,NA,Core,Neulinger,Consistently,Consistently,YES,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,27,,4425206.3,5425988.86,NA,NA,NA,NA,NA,NA
G21b,NA,NA,NA,0,NA,NA,3,NA,2,NA,Core,Neulinger,Consistently,Consistently,YES,NA,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,20,,4425897.78,5426179.51,NA,NA,NA,NA,NA,NA
G23,NA,NA,NA,2,NA,NA,4,NA,3,NA,Core,Neulinger,Consistently,Consistently,YES,NA,31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,24,,4424466.05,5425467.58,NA,NA,NA,NA,NA,NA
G24,NA,NA,NA,2,NA,NA,3,NA,2,NA,Core,Neulinger,Consistently,Consistently,YES,NA,27,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,21,,4423975.65,5425305.17,NA,NA,NA,NA,NA,NA
G25,NA,NA,NA,2,NA,NA,3,NA,2,NA,Core,Neulinger,Consistently,Consistently,YES,NA,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,24,,4424763.52,5425178.02,NA,NA,NA,NA,NA,NA
G26,NA,NA,NA,0,NA,NA,2,NA,1,NA,Core,Neulinger,Consistently,Consistently,YES,NA,31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,24,,4423273.29,5424784.31,NA,NA,NA,NA,NA,NA
G27,NA,NA,NA,0,NA,NA,1,NA,0,NA,Core,none,Ungrazed,Ungrazed,Ungrazed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4423375.05,5424467.9,NA,NA,NA,NA,NA,NA
G28,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Core,Neulinger,Consistently,Consistently,YES,NA,33,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,26,,4423720.45,5423918.64,NA,NA,NA,NA,NA,NA
G29,NA,NA,NA,0,NA,NA,4,NA,3,NA,Core,Neulinger,Consistently,Consistently,YES,NA,33,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,26,,4423185.76,5424175.62,NA,NA,NA,NA,NA,NA
G30,NA,NA,NA,2,NA,NA,5,NA,4,NA,Core,Neulinger,Consistently,Consistently,YES,NA,38,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,31,,4425203.97,5423255.93,NA,NA,NA,NA,NA,NA
G31,NA,NA,NA,2,NA,NA,3,NA,2,NA,Core,Neulinger,Consistently,Consistently,YES,NA,30,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,26,,4425649.02,5423297.63,NA,NA,NA,NA,NA,NA
G32_34,NA,NA,NA,2,NA,NA,4,NA,4,NA,Core,Grimm,Consistently,Consistently,YES,NA,29,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,23,,4427350.67,5428977.16,NA,NA,NA,NA,NA,NA
G35_36,NA,NA,NA,2,NA,NA,5,NA,4,NA,Core,Grimm,Consistently,Consistently,YES,NA,35,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,28,,4427043.09,5428375.45,NA,NA,NA,NA,NA,NA
G_37_39,NA,NA,NA,2,NA,NA,3,NA,3,NA,Core,Grimm,Consistently,Consistently,YES,NA,40,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,33,,4428581.47,5427739.21,NA,NA,NA,NA,NA,NA
G40-44,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Core,Grimm,Consistently,Consistently,YES,NA,36,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,30,,4429547.71,5427265.45,NA,NA,NA,NA,NA,NA
G46,NA,NA,NA,0,NA,NA,5,NA,4,NA,Core,Grimm,Consistently,Consistently,YES,NA,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,33,,4428808.61,5427072.28,NA,NA,NA,NA,NA,NA
G47,NA,NA,NA,0,NA,NA,NA,NA,0,NA,Core,Grimm,Consistently,Consistently,YES,NA,36,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,29,,4427943.48,5427172.41,NA,NA,NA,NA,NA,NA
G48,NA,NA,NA,2,NA,NA,2,NA,2,NA,Core,Grimm,Consistently,Consistently,YES,NA,38,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,31,,4431237.73,5428419.29,NA,NA,NA,NA,NA,NA
G49,NA,NA,NA,2,NA,NA,2,NA,2,NA,Core,Grimm,Consistently,Consistently,YES,NA,37,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,32,31,,4430937.07,5428031.27,NA,NA,NA,NA,NA,NA
G50,NA,NA,NA,3,NA,NA,1,NA,1,NA,Core,Grimm,Intermittently,Initially,YES,NA,28,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,25,24,,4430889.05,5427442.36,NA,NA,NA,NA,NA,NA
G51_45,NA,NA,NA,0,NA,NA,2,NA,2,NA,Core,Grimm,Consistently,Consistently,YES,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,27,,4430842.92,5426931.96,NA,NA,NA,NA,NA,NA
G52,NA,NA,NA,0,NA,NA,3,NA,2,NA,Core,Grimm,Ungrazed,Ungrazed,Ungrazed,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,17,,NA,NA,NA,NA,NA,NA,NA,NA
G54,NA,NA,NA,3,NA,NA,1,NA,1,NA,Core,NA,NA,NA,NA,NA,22,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,16,,NA,NA,NA,NA,NA,NA,NA,NA
G100,NA,NA,NA,2,NA,NA,1,NA,1,NA,Core,Beil,Consistently,Consistently,YES,NA,34,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,27,,4424164.37,5429281.79,NA,NA,NA,NA,NA,NA
GA7b,NA,NA,NA,0,NA,NA,2,NA,2,NA,Other,none,Ungrazed,Ungrazed,Ungrazed,NA,29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,23,,NA,NA,NA,NA,NA,NA,NA,NA
Nagelberg,NA,NA,NA,2,NA,NA,2,NA,2,NA,Other,Beil,Consistently,Consistently,YES,NA,25,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,20,,NA,NA,NA,NA,NA,NA,NA,NA
